item_hrid,barcode,holdings_level_call_number,item_effective_call_number,item_level_call_number,location_name
it00035026167,3.12066E+14,Parker 4-6,Parker 5,Parker 5,UM Special Collections
it00034517894,3.12066E+14,RBR 1529-1536,RBR 1530,RBR 1530,UM Special Collections
it00035157885,379820-3150-UMA,N81 .S3,N81 .S3,N81 .S3,UM W.E.B. Du Bois Periodicals
it00033998184,3.12066E+14,HA201 1990m v.245H sec.1-6,HA201 1990m v.245H sec.5,HA201 1990m v.245H sec.5,UM W.E.B. Du Bois General Collections
it00033356432,3.12066E+14,RBR 1964-2038,RBR 1997,RBR 1997,UM Special Collections
it00034702445,3.12066E+14,HA201 1990d v.20 sec.1-2,HA201 1990d v.20 sec.1,HA201 1990d v.20 sec.1,UM W.E.B. Du Bois General Collections
it00035044690,3.12066E+14,Savas 1744-1852,Savas 1794,Savas 1794,UM Special Collections
it00034994685,3.12066E+14,RBR 874-982,RBR 929,RBR 929,UM Special Collections
it00034932419,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00033455459,3.12066E+14,RBR 171-185,RBR 185,RBR 185,UM Special Collections
it00035057152,3.12066E+14,Fraser 623-626,Fraser 623,Fraser 623,UM Special Collections
it00034933580,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035099062,3.12066E+14,"NEYM 996, 1148-1154",NEYM 1152,NEYM 1152,UM Special Collections
it00035087150,3.12066E+14,"NEYM 97, 1218",NEYM 97,NEYM 97,UM Special Collections
it00035096781,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1082,NEYM 1082,UM Special Collections
it00035061327,3.12066E+14,NEA 588-589,NEA 588,NEA 588,UM Special Collections
it00035061576,3.12066E+14,NEA 592-612,NEA 605,NEA 605,UM Special Collections
it00034983168,3.12066E+14,Winokur 454-461,Winokur 455,Winokur 455,UM Special Collections
it00035023138,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 8:339,MS 369 Box 8:339,UM Special Collections Archival
it00035035311,3.12066E+14,Fraser 1234-1256,Fraser 1255,Fraser 1255,UM Special Collections
it00035022223,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 5:228,MS 369 Box 5:228,UM Special Collections Archival
it00034506349,3.12066E+14,3362,3362,3362,UM Music Media CD
it00034170257,3.12066E+14,RBR 1397-1398,RBR 1398,RBR 1398,UM Special Collections
it00034928531,3.12066E+14,HA201 1960 v.181-186,HA201 1960 v.187,HA201 1960 v.187,UM W.E.B. Du Bois General Collections
it00035016752,3.12066E+14,MS 369 Box 3:80-Box 4:99,MS 369 Box 3:91,MS 369 Box 3:91,UM Special Collections Archival
it00033208897,625378-1920-UMA,TR1 .A62,TR1 .A62,TR1 .A62,UM W.E.B. Du Bois Periodicals
it00034998444,3.12066E+14,Parker 90-93,Parker 91,Parker 91,UM Special Collections
it00035037833,3.12066E+14,RBR 1229-1231,RBR 1229,RBR 1229,UM Special Collections
it00034933630,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.10,HA201 1970 v.10,UM W.E.B. Du Bois General Collections
it00033625522,3.12066E+14,NA9246.K8 S5,NA9246.K8 S5,NA9246.K8 S5,UM W.E.B. Du Bois General Collections
it00032904801,3.12066E+14,,MS 369 Box 3:69,MS 369 Box 3:69,UM Special Collections Archival
it00032925525,3.12066E+14,RBR 1903-1939,RBR 1916,RBR 1916,UM Special Collections
it00035044917,3.12066E+14,DS95.5 .S36 2013,DS95.5 .S36 2013,DS95.5 .S36 2013,UM W.E.B. Du Bois General Collections
it00034933460,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00032748697,329755-1040-UMA,NA9000 .U7,NA9000 .U7,NA9000 .U7,UM W.E.B. Du Bois General Collections
it00035158167,3.12066E+14,ML1 .M2,ML1 .M2,ML1 .M2,UM W.E.B. Du Bois Periodicals
it00033951690,3.12066E+14,HA201 1990d v.49 sec.1-2,HA201 1990d v.49 sec.2,HA201 1990d v.49 sec.2,UM W.E.B. Du Bois General Collections
it00033047790,3.12066E+14,RBR 1334-1338,RBR 1335,RBR 1335,UM Special Collections
it00033831188,3.12066E+14,NA9108 .T82,NA9108 .T82,NA9108 .T82,UM W.E.B. Du Bois General Collections
it00033639504,3.12066E+14,MT55 .S69 1946,MT55 .S69 1946,MT55 .S69 1946,UM W.E.B. Du Bois General Collections
it00035030453,3.12066E+14,"Fraser 883-903, 1024-1047",Fraser 887,Fraser 887,UM Special Collections
it00034914308,3.12066E+14,RBR 403-406,RBR 406,RBR 406,UM Special Collections
it00034933611,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00033477068,3.12066E+14,MT58 .W34,MT58 .W34,MT58 .W34,UM W.E.B. Du Bois General Collections
it00035044664,3.12066E+14,Savas 1744-1852,Savas 1768,Savas 1768,UM Special Collections
it00035101509,3.12066E+14,NEYM 1231-1286,NEYM 1249,NEYM 1249,UM Special Collections
it00034928589,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00034937872,3.12066E+14,RBR 549-577,RBR 576,RBR 576,UM Special Collections
it00034136719,3.12066E+14,HA201 1980 v.1 pt.42 ch.D sec.1-2,HA201 1980 v.1 pt.42 ch.D sec.2,HA201 1980 v.1 pt.42 ch.D sec.2,UM W.E.B. Du Bois General Collections
